Japanese_Input,Japanese,Type,Image,Audio,Vietnamese,Korean,Chinese_Simplified,Chinese_Traditional,English,Spanish_LA,Spanish_SP,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio
‎古いおもちゃも<br>‎キラめかなくなったら<br>‎スッパリ捨てる！,‎ 古[ふる]いおもちゃも<br>‎キラめかなくなったら<br>‎スッパリ 捨[す]てる！,古いおもちゃもキラめかなくなったらスッパリ捨てる,"<img src=""Doraemon_S01E816_Episode_124249.jpeg"">",[sound:Doraemon_S01E816_Episode_124099.mp3],Đồ chơi cũ cũng vậy — không còn lấp lánh mới mẻ thì bỏ ngay!,,,,"Old toys too — once they lose their shine, throw them away cleanly!",,,スッパリ:きれいに 断ち切[たちき]る。,捨[す]てる: 使[つか]わなくする。,~たら: 条件[じょうけん]。,,タバコをスッパリやめた。,古[ふる]い 靴[くつ]を 捨[す]てた。,雨[あめ]が 降[ふ]ったら 行[い]かない。,,[sound:hypertts-00569b0ec67cd7110645b47bb90c64eb46425aca16d5cc58eb8977fd.mp3],[sound:hypertts-3cd71d8adbde9ad12cd6519ded71bb47978b675676d4718c38624f88.mp3],[sound:hypertts-d8cd8a9bbe2275f8cdf7b497d95eeec710fc792aa06233536bebfc64.mp3],
‎今 海外じゃ常識だよ,‎ 今[いま] 海外[かいがい]じゃ 常識[じょうしき]だよ,今海外じゃ常識だよ,"<img src=""Doraemon_S01E816_Episode_127460.jpeg"">",[sound:Doraemon_S01E816_Episode_127310.mp3],"Ở nước ngoài bây giờ, đó là điều bình thường.",,,,"Abroad, that’s common sense now.",,,常識[じょうしき]: 一般[いっぱん]に 通[つう]じる 知識[ちしき]。,~じゃ:「では」の 口語[こうご]。,,,そんなことは 常識[じょうしき]だ。,ここじゃ 静[しず]かだ。,,,[sound:hypertts-35a53fd32a9fc26f8c5df460342503761a7333463111ae3d40d68655.mp3],[sound:hypertts-8c54f6cfdf323513443e2a7d74184b3ef1695f56e1d544fb6c41f4bf.mp3],,
‎うちには整理する場所もないからね,‎うちには 整理[せいり]する 場所[ばしょ]もないからね,うちには整理する場所もないからね,"<img src=""Doraemon_S01E816_Episode_135593.jpeg"">",[sound:Doraemon_S01E816_Episode_135443.mp3],Nhà mình thì chẳng có chỗ mà dọn dẹp cả.,,,,"In our house, there isn’t even space to organize.",,,整理[せいり]: 物[ぶつ]を 片付[かたづ]けること。,場所[ばしょ]:ところ。,からね: 理由[りゆう]を 柔[やわ]らかく 示[しめ]す。,,机[つくえ]の 中[なか]を 整理[せいり]する。,静[しず]かな 場所[ばしょ]で 勉強[べんきょう]する。,時間[じかん]がないからね。,,[sound:hypertts-4bf24bea005534f5d9ec5555819fbd86bbde5b1324f4fd61e7734d1b.mp3],[sound:hypertts-8fd7c54c4c275b22aefe484a3b8f6efe28cb8bc3cc3c31970d2f47f5.mp3],[sound:hypertts-bda626123555c7b1baa23b7c2e91aeebbf464b9d2e27b64c5465d91d.mp3],
‎ドラえもんが来る前は とりあえず<br>‎あそこに押し込めば済んだのに,‎ ドラ[どら]えもんが 来[く]る 前[まえ]はとりあえず<br>‎あそこに 押し込[おしこ]めば 済[す]んだのに,ドラえもんが来る前はとりあえずあそこに押し込めば済んだのに,"<img src=""Doraemon_S01E816_Episode_138555.jpeg"">",[sound:Doraemon_S01E816_Episode_138405.mp3],"Trước khi Doraemon đến, chỉ cần nhét tạm vào đó là xong.",,,,"Before Doraemon came, I could just shove things in there and be done.",,,押し込[おしこ]む: 無理[むり]に 入[い]れる。,済[す]む: 終[お]わる・ 解決[かいけつ]する。,のに: 不満[ふまん]・ 逆接[ぎゃくせつ]。,,荷物[にもつ]を 押し込[おしこ]む。,これで 済[す]む 問題[もんだい]だ。,行[い]ったのに 会[あ]えなかった。,,[sound:hypertts-7bb16384e61988de2daaa959df955f9c5a5381760b83d2e4f9ad4f8e.mp3],[sound:hypertts-8b9cedb25006112d5a9312ccbedcd0d2009d36a91fbb1d87aecfad78.mp3],[sound:hypertts-21200eadde5d8d0049cec6b3204444b6c5fb9b3eca6f7610d1abaa99.mp3],
‎冗談じゃない！<br>‎僕のせいにされてたまるか！,‎ 冗談[じょうだん]じゃない！<br>‎ 僕[ぼく]のせいにされてたまるか！,冗談じゃない僕のせいにされてたまるか,"<img src=""Doraemon_S01E816_Episode_143101.jpeg"">",[sound:Doraemon_S01E816_Episode_142951.mp3],Đừng có đùa! Đừng có đổ lỗi cho tớ!,,,,You’ve got to be kidding! Don’t blame it on me!,,,冗談[じょうだん]じゃない: 強[つよ]い 否定[ひてい]。,せいにする: 責任[せきにん]を 押し付[おしつ]ける。,~てたまるか: 強[つよ]い 拒否[きょひ]。,,冗談[じょうだん]じゃないよ！,失敗[しっぱい]を 人[ひと]のせいにするな。,行[い]くもんか！(＝てたまるか),,[sound:hypertts-4d2566a5aad0002c4d3429195e682b18f592146968c62b8213ee4e18.mp3],[sound:hypertts-069a09d7b5d42424e72861c8188327e7fab2a2636dc0951e19f3f2c3.mp3],[sound:hypertts-439ac13cef4359917654d3da648fa4ff4de57675ac8c81382316c414.mp3],
‎よし こうなったら<br>‎絶対 物を捨てさせてやる！,‎よしこうなったら<br>‎ 絶対[ぜったい] 物[ぶつ]を 捨[す]てさせてやる！,よしこうなったら絶対物を捨てさせてやる,"<img src=""Doraemon_S01E816_Episode_153027.jpeg"">",[sound:Doraemon_S01E816_Episode_152877.mp3],"Được, nếu thế thì tớ sẽ bắt cậu phải vứt đồ đi!",,,,"Fine, if it comes to this, I’ll make him throw things away!",,,~こうなったら: 状況[じょうきょう]を 受[う]けて 決意[けつい]。,~させる: 使役[しえき]。,捨[す]てる: 物[ぶつ]を 処分[しょぶん]する。,,こうなったら 全力[ぜんりょく]でやる。,子供[こども]に 掃除[そうじ]をさせる。,古[ふる]い 服[ふく]を 捨[す]てる。,,[sound:hypertts-e438518ec0b4ed0d9172ac093e705b9761631cbd8cb7808b565b3022.mp3],[sound:hypertts-6fa962256e41555f6f12961548b18ae7a45af3f9948c1d406c5175c3.mp3],[sound:hypertts-79a589a04c8e5577abccd87d3aa53367674a4c10969e5202385007e4.mp3],
‎この道具は<br>‎持っている物を全部整理して<br>‎並べて見せてくれるだけなんだ,‎この 道具[どうぐ]は<br>‎ 持[も]っている 物[もの]を 全部[ぜんぶ] 整理[せいり]して<br>‎ 並[な]べて 見[み]せてくれるだけなんだ,この道具は持っている物を全部整理して並べて見せてくれるだけなんだ,"<img src=""Doraemon_S01E816_Episode_165665.jpeg"">",[sound:Doraemon_S01E816_Episode_165515.mp3],Dụng cụ này chỉ sắp xếp và cho xem những gì cậu có thôi.,,,,This tool only organizes and displays what you own.,,,並[なら]べる: 順[じゅん]に 置[お]く。,見[み]せる: 示[しめ]す。,~だけなんだ: 限定[げんてい] 表現[ひょうげん]。,,本[ほん]を 順番[じゅんばん]に 並[なら]べる。,写真[しゃしん]を 見[み]せる。,趣味[しゅみ]なだけなんだ。,,[sound:hypertts-f6fdc4e841af6b4360090fb6aebce158ababdef218ff442d5d6a0eaa.mp3],[sound:hypertts-4dc4aafc0dbe2ad97c645c690a2ef0ed21775cc8a331531b94cfe2ac.mp3],[sound:hypertts-60ae232b956a7a2fa6832c25b29ec1f28339a203e17e413496f42d81.mp3],
‎のび太君の部屋にある物を<br>‎細かく分類して<br>‎分かりやすく並べてあるんだ,‎のび 太[た] 君[くん]の 部屋[へや]にある 物[もの]を<br>‎ 細[こま]かく 分類[ぶんるい]して<br>‎ 分[わ]かりやすく 並[な]べてあるんだ,のび太君の部屋にある物を細かく分類して分かりやすく並べてあるんだ,"<img src=""Doraemon_S01E816_Episode_192442.jpeg"">",[sound:Doraemon_S01E816_Episode_192292.mp3],Đồ đạc trong phòng Nobita được phân loại kỹ và bày biện rõ ràng.,,,,The things in Nobita’s room are classified in detail and neatly displayed.,,,分類[ぶんるい]する: 種類[しゅるい]に 分[わ]ける。,細[こま]かく: 詳[くわ]しく。,分[わ]かりやすく: 理解[りかい]しやすく。,,本[ほん]をジャンルで 分類[ぶんるい]する。,細[こま]かく 説明[せつめい]する。,図[ず]で 分[わ]かりやすく 示[しめ]す。,,[sound:hypertts-b9322d0eb5539d2d56f68439651ff69363fba057a7707b64b3a779c5.mp3],[sound:hypertts-0785a10df6480e626fee0dd49daa60adce218e931656a08d91cc349e.mp3],[sound:hypertts-28f1160d618fc17126c282c52210c34a550d9fb54dc3f6fc3d3e59cc.mp3],
‎何をどれだけ持っているか<br>‎ひと目で分かるから<br>‎いらない物もすぐ分かる,‎ 何[なに]をどれだけ 持[も]っているか<br>‎ひと 目[め]で 分[わ]かるから<br>‎いらない 物[もの]もすぐ 分[わ]かる,何をどれだけ持っているかひと目で分かるからいらない物もすぐ分かる,"<img src=""Doraemon_S01E816_Episode_197906.jpeg"">",[sound:Doraemon_S01E816_Episode_197756.mp3],"Chỉ cần nhìn qua là biết có gì, thừa cái gì.",,,,You can see at a glance what you own and easily spot what’s unnecessary.,,,ひと 目[め]で: 一瞬[いっしゅん]で。,~だけ: 数量[すうりょう]や 範囲[はんい]。,いらない 物[もの]: 不要[ふよう]な 物[もの]。,,ひと 目[め]で 気に入[きにい]った。,水[みず]だけ 飲[の]む。,いらない 物[もの]を 捨[す]てる。,,[sound:hypertts-89f2220c549556486563e39e4e9a94f0a169acacebdd139a0b99082c.mp3],[sound:hypertts-53e7850fd017b01f38156f4fff8aaa5cd613aaf8bacec6ca7b3f3b68.mp3],[sound:hypertts-13cb7ea1b1e5c2f3d30eb5f3261230a050698b4a410ab23fcbfa05f3.mp3],
‎勉強道具のコーナーだよ,‎ 勉強[べんきょう] 道具[どうぐ]のコーナーだよ,勉強道具のコーナーだよ,"<img src=""Doraemon_S01E816_Episode_223765.jpeg"">",[sound:Doraemon_S01E816_Episode_223615.mp3],Đây là góc để đồ học tập.,,,,This is the study tools corner.,,,道具[どうぐ]: 使[つか]う 物[もの]。,コーナー: 一角[いっかく]、 区画[くかく]。,,,キャンプの 道具[どうぐ]を 持[も]っていく。,本[ほん]のコーナーを 探[さが]す。,,,[sound:hypertts-c80d93529e693d0f85a79011c1c90ab8b15c9e500d82f0bbfed5c975.mp3],[sound:hypertts-a1c402ce9753e41b4e4a4551aac234d595fa29abbfc6cc5aa4b978b4.mp3],,
‎片方だけの靴下がこんなにあるよ<br>‎互い違いで<br>‎はきたい日があるかも！,‎ 片方[かたほう]だけの 靴下[くつした]がこんなにあるよ<br>‎ 互い違[たがいちが]いで<br>‎はきたい 日[ひ]があるかも！,片方だけの靴下がこんなにあるよ互い違いではきたい日があるかも,"<img src=""Doraemon_S01E816_Episode_255213.jpeg"">",[sound:Doraemon_S01E816_Episode_255063.mp3],Có nhiều chiếc vớ lẻ thế này—biết đâu có ngày muốn mang lệch!,,,,There are so many single socks—maybe I’ll want to wear mismatched ones someday!,,,片方[かたほう]:ペアの 一[ひと]つ。,互い違[たがいちが]い: 交互[こうご]に 異[こと]なる。,~かも: 推量[すいりょう]。,,片方[かたほう]の 靴[くつ]をなくした。,赤[あか]と 青[あお]を 互い違[たがいちが]いに 並[なら]べる。,明日[あした] 雨[あめ]かもしれない。,,[sound:hypertts-e9566a9a4b84e8824be4584c34fa379e3ccd0092452e75042c1790cf.mp3],[sound:hypertts-85a159fd9f4222b6d24eb9afd815ad22f6a46cb8ae94f3e53f3cce52.mp3],[sound:hypertts-993ddcaadc8bf93d396807d91fcff6ab5fa1eb091e4dbc6b1293a6f2.mp3],
‎読まないマンガは<br>‎捨てていいんじゃないの？<br>‎捨てるなんて これは財産だよ！,‎ 読[よ]まないマンガは<br>‎ 捨[す]てていいんじゃないの？<br>‎ 捨[す]てるなんてこれは 財産[ざいさん]だよ！,読まないマンガは捨てていいんじゃないの捨てるなんてこれは財産だよ,"<img src=""Doraemon_S01E816_Episode_271521.jpeg"">",[sound:Doraemon_S01E816_Episode_271371.mp3],Truyện tranh không đọc thì bỏ đi? Không được—đây là tài sản quý giá!,,,,"If you don’t read the manga, why not throw it away? No way—this is treasure!",,,財産[ざいさん]: 大切[たいせつ]な 物[もの]。,~んじゃない: 軽[かる]い 提案[ていあん]。,~なんて: 驚[おどろ]き・ 軽視[けいし]。,,家[いえ]は 大[おお]きな 財産[ざいさん]だ。,少[すこ]し 休[やす]んだらいいんじゃない？,嘘[うそ]なんて 信[しん]じない。,,[sound:hypertts-ec7146aba437f095322e2a2a34de41a38ab4a46df302c3e89af6bd86.mp3],[sound:hypertts-377b1d61fe29c1f0e7bb5a029f1d84634c42b0e2cbc1d3b717357e4b.mp3],[sound:hypertts-96b7fe7a129de314174038ff0381dba15f3fa9a17638a0430fdd7597.mp3],
‎（ジャイアン）そんな昔のこと<br>‎覚えてねえよ！,‎（ジャイアン）そんな 昔[むかし]のこと<br>‎ 覚[おぼ]えてねえよ！,そんな昔のこと覚えてねえよ,"<img src=""Doraemon_S01E816_Episode_288204.jpeg"">",[sound:Doraemon_S01E816_Episode_288054.mp3],"Chuyện xưa thế rồi, tớ làm sao nhớ!",,,,"That’s so long ago, I don’t remember!",,,覚[おぼ]える: 記憶[きおく]する。,~ねえ:~ないの 俗語[ぞくご]。,昔[むかし]: 過去[かこ]のこと。,,歌詞[かし]を 覚[おぼ]える。,金[きん]なんてねえよ。,昔[むかし]の 友達[ともだち]に 会[あ]った。,,[sound:hypertts-d83a287c119592aefa2306e8d689cf2b6c7d256cfebbef5dec0c63fe.mp3],[sound:hypertts-08854691aed2590e6ecac7f2ad27142d63adce9ad9314e47c2d85e34.mp3],[sound:hypertts-0e21c58110a0e1e32d0cad0188debe06f956ebac0a4c9575353c3b1e.mp3],
‎借りた物ばっかり<br>‎いつか返すんだから文句ないだろ,‎ 借[か]りた 物[もの]ばっかり<br>‎いつか 返[かえ]すんだから 文句[もんく]ないだろ,借りた物ばっかりいつか返すんだから文句ないだろ,"<img src=""Doraemon_S01E816_Episode_303678.jpeg"">",[sound:Doraemon_S01E816_Episode_303266.mp3],"Toàn là đồ mượn thôi—sẽ trả lại mà, đừng than phiền!",,,,"They’re all borrowed things—I’ll return them someday, so no complaints!",,,借[か]りる: 他人[たにん]の 物[もの]を 使[つか]う。,文句[もんく]: 不満[ふまん]。,いつか: 将来[しょうらい]のある 時[とき]。,,本[ほん]を 友達[ともだち]から 借[か]りた。,文句[もんく]ばかり 言[い]うな。,いつか 旅行[りょこう]したい。,,[sound:hypertts-22da1fcdee746972b7e90e546fb516fb1a8f826d57dcb17bb26f8f3b.mp3],[sound:hypertts-af81ada6b1a0d09ae084a70fc7bade14ab7d61b601cac297421084af.mp3],[sound:hypertts-ac4a8867c1e1971058ec9f08f84a3bf25a95de77d88b579bed6f5199.mp3],
‎どうかしてるよ<br>‎結局 何も捨てないなんて,‎どうかしてるよ<br>‎ 結局[けっきょく] 何[なに]も 捨[す]てないなんて,どうかしてるよ結局何も捨てないなんて,"<img src=""Doraemon_S01E816_Episode_320069.jpeg"">",[sound:Doraemon_S01E816_Episode_319919.mp3],Cậu đúng là lạ thật—rốt cuộc chẳng vứt gì cả!,,,,"You must be crazy—after all, you didn’t throw away a single thing!",,,どうかしてる: 正常[せいじょう]ではない 様子[ようす]。,結局[けっきょく]: 最後[さいご]に 行き着[いきつ]いた 結果[けっか]。,~なんて: 驚[おどろ]きや 軽視[けいし]を 表[あらわ]す。,,暑[あつ]さで 頭[あたま]がどうかしてる。,結局[けっきょく] 何[なに]も 買[か]わなかった。,宿題[しゅくだい]なんて 簡単[かんたん]だよ。,,[sound:hypertts-4769d2712ba884ac019913bb21f2a7a9bcb277bb172d2ceedebbb3b1.mp3],[sound:hypertts-882103d3300171ec0caf2c4ba2a72596079ad615a544a1d12c247cf6.mp3],[sound:hypertts-11c0df33e12b763b00a32be8db329c6fe0203fb1a29e8fec516025e9.mp3],
‎これさえあれば もう片づけは<br>‎終わったも同然ね,‎これさえあればもう 片[かた]づけは<br>‎ 終[お]わったも 同然[どうぜん]ね,これさえあればもう片づけは終わったも同然ね,"<img src=""Doraemon_S01E816_Episode_337503.jpeg"">",[sound:Doraemon_S01E816_Episode_337353.mp3],Chỉ cần cái này thì coi như dọn dẹp xong rồi.,,,,"With just this, cleaning up is as good as finished.",,,~さえあれば:それだけで 十分[じゅうぶん]。,~も 同然[どうぜん]:ほぼ 同[おな]じ。,,,水[みず]さえあれば 生[い]きられる。,合格[ごうかく]したも 同然[どうぜん]だ。,,,[sound:hypertts-77e1c1678129931b9e1bd6122901a90a1919d5297bb52aa382bcbd06.mp3],[sound:hypertts-8bf3d9f3aea716fb67abf50b2aa3a98952ba2844bc6f2e55f79289c3.mp3],,
